iter	Passed	Remaining
0	167	167692
1	175	87565
2	182	60537
3	191	47608
4	201	40092
5	209	34712
6	219	31100
7	227	28219
8	236	26029
9	245	24293
10	253	22830
11	263	21698
12	272	20684
13	281	19811
14	289	19000
15	299	18392
16	307	17764
17	318	17397
18	328	16944
19	338	16562
20	347	16209
21	357	15896
22	366	15571
23	376	15292
24	385	15017
25	393	14756
26	403	14542
27	412	14309
28	419	14047
29	431	13953
30	441	13786
31	450	13640
32	459	13476
33	468	13325
34	477	13166
35	487	13045
36	495	12907
37	503	12734
38	511	12597
39	518	12436
40	526	12307
41	533	12162
42	543	12090
43	550	11970
44	558	11850
45	567	11761
46	575	11662
47	582	11556
48	590	11456
49	597	11357
50	605	11264
51	612	11172
52	621	11106
53	631	11062
54	641	11018
55	652	10992
56	662	10959
57	673	10941
58	684	10921
59	695	10899
60	707	10885
61	718	10874
62	730	10859
63	741	10846
64	765	11009
65	777	10996
66	787	10960
67	799	10952
68	809	10918
69	818	10871
70	828	10838
71	838	10806
72	848	10779
73	858	10748
74	868	10707
75	876	10661
76	886	10624
77	894	10574
78	903	10532
79	911	10483
80	920	10441
81	929	10402
82	936	10341
83	943	10287
84	950	10231
85	958	10184
86	966	10142
87	975	10108
88	985	10086
89	995	10064
90	1004	10037
91	1013	10002
92	1022	9970
93	1031	9940
94	1041	9919
95	1049	9884
96	1058	9852
97	1066	9820
98	1075	9787
99	1083	9753
100	1091	9713
101	1099	9678
102	1107	9649
103	1117	9624
104	1125	9592
105	1133	9563
106	1142	9536
107	1150	9505
108	1161	9493
109	1169	9462
110	1178	9438
111	1188	9420
112	1196	9392
113	1205	9370
114	1214	9349
115	1222	9318
116	1232	9305
117	1242	9287
118	1252	9272
119	1261	9254
120	1272	9242
121	1280	9212
122	1288	9186
123	1296	9157
124	1304	9128
125	1312	9101
126	1319	9071
127	1327	9043
128	1334	9012
129	1342	8986
130	1350	8957
131	1359	8938
132	1369	8926
133	1379	8917
134	1389	8902
135	1397	8876
136	1405	8855
137	1414	8838
138	1422	8813
139	1430	8786
140	1439	8767
141	1446	8741
142	1454	8717
143	1463	8697
144	1471	8679
145	1481	8668
146	1490	8646
147	1498	8625
148	1506	8605
149	1515	8585
150	1526	8581
151	1538	8585
152	1557	8622
153	1568	8617
154	1580	8614
155	1590	8605
156	1602	8603
157	1612	8595
158	1623	8585
159	1633	8575
160	1643	8563
161	1656	8568
162	1665	8554
163	1673	8532
164	1681	8508
165	1688	8484
166	1696	8461
167	1703	8438
168	1712	8423
169	1720	8400
170	1728	8379
171	1735	8355
172	1743	8333
173	1750	8309
174	1758	8289
175	1765	8267
176	1773	8245
177	1780	8222
178	1788	8202
179	1795	8181
180	1803	8160
181	1810	8138
182	1818	8119
183	1826	8098
184	1833	8079
185	1840	8056
186	1848	8037
187	1856	8017
188	1863	7997
189	1871	7978
190	1882	7973
191	1892	7965
192	1904	7962
193	1916	7961
194	1928	7963
195	1941	7964
196	1953	7962
197	1965	7962
198	1978	7965
199	1991	7965
200	2003	7965
201	2017	7970
202	2029	7969
203	2047	7987
204	2063	8003
205	2074	7995
206	2086	7993
207	2098	7988
208	2108	7979
209	2118	7968
210	2127	7955
211	2138	7947
212	2148	7937
213	2161	7940
214	2174	7937
215	2184	7928
216	2194	7919
217	2206	7913
218	2217	7908
219	2228	7900
220	2237	7887
221	2247	7877
222	2258	7868
223	2266	7850
224	2276	7841
225	2286	7830
226	2297	7822
227	2306	7811
228	2315	7796
229	2324	7782
230	2332	7765
231	2340	7748
232	2348	7731
233	2356	7715
234	2365	7699
235	2373	7683
236	2381	7667
237	2389	7651
238	2397	7633
239	2406	7619
240	2415	7606
241	2423	7589
242	2430	7572
243	2438	7554
244	2445	7537
245	2453	7518
246	2460	7501
247	2468	7483
248	2475	7466
249	2483	7449
250	2491	7433
251	2497	7414
252	2505	7396
253	2512	7379
254	2519	7362
255	2527	7345
256	2535	7329
257	2543	7314
258	2550	7297
259	2558	7280
260	2566	7265
261	2573	7249
262	2581	7232
263	2588	7217
264	2596	7201
265	2603	7184
266	2611	7169
267	2619	7154
268	2626	7137
269	2634	7121
270	2641	7106
271	2648	7089
272	2656	7075
273	2664	7059
274	2672	7044
275	2679	7028
276	2687	7013
277	2694	6998
278	2703	6985
279	2710	6970
280	2718	6956
281	2725	6940
282	2734	6926
283	2741	6911
284	2748	6896
285	2755	6880
286	2763	6866
287	2771	6851
288	2779	6838
289	2790	6831
290	2798	6819
291	2806	6803
292	2814	6790
293	2821	6775
294	2829	6761
295	2836	6746
296	2844	6732
297	2851	6716
298	2858	6702
299	2865	6686
300	2873	6672
301	2881	6658
302	2888	6644
303	2896	6630
304	2903	6615
305	2910	6601
306	2918	6587
307	2925	6573
308	2933	6559
309	2941	6546
310	2948	6532
311	2955	6517
312	2963	6504
313	2970	6490
314	2978	6476
315	2985	6462
316	2993	6450
317	3000	6435
318	3008	6423
319	3015	6408
320	3023	6395
321	3034	6389
322	3044	6381
323	3054	6372
324	3064	6364
325	3074	6355
326	3082	6345
327	3109	6369
328	3129	6383
329	3146	6389
330	3163	6393
331	3180	6399
332	3197	6404
333	3223	6427
334	3237	6426
335	3255	6433
336	3271	6437
337	3286	6437
338	3300	6434
339	3313	6432
340	3325	6427
341	3335	6417
342	3349	6414
343	3360	6408
344	3370	6399
345	3380	6390
346	3390	6381
347	3401	6372
348	3412	6364
349	3422	6356
350	3432	6346
351	3443	6339
352	3470	6360
353	3488	6365
354	3507	6373
355	3533	6391
356	3578	6445
357	3640	6529
358	3656	6528
359	3695	6569
360	3707	6562
361	3718	6554
362	3729	6545
363	3741	6537
364	3753	6529
365	3762	6518
366	3773	6508
367	3783	6497
368	3793	6486
369	3803	6475
370	3813	6466
371	3824	6455
372	3835	6446
373	3845	6436
374	3855	6425
375	3865	6415
376	3876	6405
377	3884	6392
378	3892	6378
379	3900	6363
380	3908	6350
381	3917	6337
382	3924	6322
383	3933	6309
384	3941	6296
385	3948	6281
386	3956	6266
387	3964	6252
388	3972	6239
389	3980	6225
390	3987	6211
391	3995	6196
392	4002	6182
393	4011	6169
394	4018	6155
395	4026	6141
396	4033	6127
397	4041	6113
398	4049	6099
399	4056	6084
400	4064	6070
401	4071	6056
402	4079	6043
403	4087	6029
404	4094	6015
405	4102	6001
406	4111	5989
407	4118	5975
408	4126	5962
409	4132	5947
410	4142	5937
411	4151	5924
412	4164	5919
413	4174	5909
414	4183	5897
415	4193	5886
416	4201	5874
417	4208	5860
418	4216	5846
419	4224	5833
420	4232	5820
421	4239	5806
422	4247	5794
423	4255	5780
424	4263	5768
425	4271	5755
426	4279	5742
427	4287	5729
428	4295	5716
429	4303	5704
430	4310	5691
431	4318	5677
432	4325	5664
433	4333	5651
434	4341	5639
435	4349	5626
436	4359	5616
437	4370	5608
438	4382	5599
439	4392	5590
440	4402	5581
441	4414	5573
442	4425	5564
443	4438	5557
444	4450	5550
445	4461	5542
446	4472	5533
447	4483	5524
448	4492	5513
449	4502	5502
450	4512	5492
451	4520	5480
452	4528	5468
453	4536	5455
454	4545	5444
455	4552	5431
456	4560	5418
457	4568	5406
458	4576	5393
459	4584	5382
460	4593	5370
461	4602	5359
462	4611	5348
463	4620	5337
464	4629	5326
465	4638	5315
466	4647	5304
467	4655	5292
468	4665	5282
469	4674	5271
470	4682	5259
471	4691	5248
472	4700	5237
473	4711	5228
474	4721	5218
475	4732	5210
476	4744	5202
477	4756	5194
478	4776	5194
479	4789	5188
480	4804	5184
481	4817	5177
482	4832	5173
483	4846	5167
484	4857	5158
485	4869	5150
486	4882	5142
487	4892	5133
488	4902	5123
489	4912	5113
490	4921	5102
491	4932	5092
492	4941	5081
493	4951	5071
494	4960	5061
495	4969	5049
496	4979	5039
497	4988	5028
498	4998	5018
499	5011	5011
500	5021	5001
501	5030	4990
502	5040	4980
503	5049	4968
504	5058	4958
505	5068	4948
506	5077	4937
507	5087	4927
508	5095	4915
509	5103	4903
510	5113	4893
511	5123	4883
512	5133	4872
513	5143	4863
514	5151	4851
515	5159	4839
516	5167	4827
517	5176	4816
518	5183	4804
519	5191	4792
520	5198	4779
521	5206	4767
522	5213	4755
523	5220	4742
524	5228	4730
525	5238	4720
526	5245	4708
527	5256	4698
528	5263	4686
529	5271	4675
530	5279	4662
531	5287	4651
532	5295	4639
533	5302	4627
534	5310	4615
535	5318	4604
536	5325	4591
537	5333	4579
538	5340	4567
539	5348	4555
540	5355	4543
541	5363	4532
542	5370	4519
543	5378	4508
544	5386	4496
545	5394	4485
546	5402	4474
547	5410	4462
548	5418	4450
549	5425	4438
550	5432	4427
551	5440	4415
552	5448	4404
553	5456	4392
554	5463	4380
555	5471	4369
556	5481	4359
557	5488	4347
558	5496	4336
559	5504	4324
560	5511	4313
561	5519	4301
562	5527	4290
563	5535	4279
564	5543	4268
565	5551	4256
566	5558	4244
567	5566	4233
568	5573	4221
569	5581	4210
570	5588	4198
571	5595	4187
572	5602	4175
573	5610	4163
574	5618	4152
575	5626	4141
576	5633	4129
577	5641	4119
578	5648	4107
579	5657	4096
580	5664	4084
581	5671	4073
582	5679	4062
583	5687	4051
584	5694	4039
585	5702	4028
586	5710	4017
587	5717	4006
588	5725	3994
589	5732	3983
590	5739	3972
591	5747	3961
592	5754	3949
593	5763	3939
594	5770	3927
595	5778	3916
596	5785	3905
597	5793	3894
598	5801	3883
599	5809	3873
600	5816	3861
601	5825	3851
602	5833	3840
603	5840	3828
604	5847	3817
605	5855	3806
606	5862	3795
607	5870	3784
608	5878	3773
609	5885	3763
610	5893	3752
611	5901	3741
612	5908	3730
613	5916	3719
614	5924	3708
615	5932	3698
616	5940	3687
617	5948	3676
618	5956	3666
619	5963	3655
620	5971	3644
621	5979	3633
622	5987	3622
623	5994	3611
624	6002	3601
625	6010	3590
626	6017	3579
627	6024	3568
628	6032	3558
629	6040	3547
630	6048	3536
631	6056	3526
632	6065	3516
633	6073	3506
634	6082	3496
635	6091	3486
636	6099	3475
637	6106	3465
638	6114	3454
639	6122	3443
640	6129	3433
641	6137	3422
642	6144	3411
643	6152	3400
644	6160	3390
645	6168	3380
646	6176	3369
647	6184	3359
648	6191	3348
